Noise,z:\calebroom\20150608\16\160023.mp4,20150608-160541.mp4,1433750741.998,1433750743.363,1.366s,4672,4692
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-164536.mp4,1433753136.034,1433753152.751,16.717s,13312,13556
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-165009.mp4,1433753409.260,1433753415.289,6.029s,17300,17388
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-165038.mp4,1433753438.035,1433753438.035,0.000s,17720,17720
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-165054.mp4,1433753454.204,1433753454.204,0.000s,17956,17956
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-165132.mp4,1433753492.571,1433753494.215,1.644s,18516,18540
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-165339.mp4,1433753619.182,1433753622.196,3.015s,20364,20408
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-165512.mp4,1433753712.358,1433753717.565,5.207s,21724,21800
Noise,z:\calebroom\20150608\16\163024.mp4,20150608-165608.mp4,1433753768.812,1433753773.745,4.933s,22548,22620
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170057.mp4,1433754057.820,1433754057.820,0.000s,472,472
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170110.mp4,1433754070.336,1433754088.137,17.801s,652,908
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170148.mp4,1433754108.997,1433754108.997,0.000s,1208,1208
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170205.mp4,1433754125.963,1433754127.910,1.947s,1452,1480
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170241.mp4,1433754161.564,1433754161.564,0.000s,1964,1964
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170314.mp4,1433754194.106,1433754194.106,0.000s,2432,2432
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170413.mp4,1433754253.627,1433754256.965,3.338s,3288,3336
Noise,z:\calebroom\20150608\17\170025.mp4,20150608-170441.mp4,1433754281.719,1433754298.963,17.244s,3692,3940
